the	{"determiner": ["cái", "con", "những"]}
evaporated	{"verb": ["bốc hơi", "bay hơi", "tan biến"]}
subcutaneous	{"adjective": ["dưới da"]}
romaine	{"noun": ["rau diếp romaine"]}
flattered	{"verb": ["tâng bốc", "nịnh hót", "làm vui lòng"]}
noontime	{"noun": ["buổi trưa", "giữa trưa"]}
beadwork	{"noun": ["đồ trang trí bằng hạt cườm", "công việc kết cườm"]}
fixed-income	{"adjective": ["thu nhập cố định"]}
devolution	{"noun": ["sự phân quyền", "sự chuyển giao quyền lực"]}
countess	{"noun": ["nữ bá tước"]}
keepsake	{"noun": ["vật kỷ niệm"]}
comport	{"verb": ["cư xử", "ăn ở", "hợp với"]}
suntan	{"noun": ["nước da rám nắng", "sự rám nắng"], "verb": ["làm rám nắng"]}
hypothetically	{"adverb": ["một cách giả định", "theo giả thuyết"]}
glob	{"noun": ["giọt", "hòn", "cục"]}
off-the-shelf	{"adjective": ["có sẵn", "mua sẵn", "không cần đặt làm"]}
measly	{"adjective": ["ít ỏi", "nhỏ mọn", "không đáng kể"]}
per-capita	{"adjective": ["bình quân đầu người"]}
unshaven	{"adjective": ["chưa cạo râu"]}
spiraling	{"verb": ["xoắn ốc", "tăng vọt", "leo thang"], "adjective": ["xoắn ốc", "tăng nhanh"]}
mandolin	{"noun": ["đàn măng-đô-lin"]}
astrologer	{"noun": ["nhà chiêm tinh học"]}
declarative	{"adjective": ["tuyên bố", "khẳng định"]}
creamed	{"verb": ["đánh kem", "làm nhuyễn", "làm mịn"]}
electrocute	{"verb": ["điện giật chết"]}
actuary	{"noun": ["nhà toán học bảo hiểm"]}
undated	{"adjective": ["không ghi ngày tháng"]}
stimulator	{"noun": ["chất kích thích", "máy kích thích"]}
pointing	{"verb": ["chỉ", "hướng", "nhắm vào"], "noun": ["sự chỉ", "sự hướng dẫn"]}
off-campus	{"adjective": ["ngoài khuôn viên trường"]}
low-density	{"adjective": ["mật độ thấp"]}
refrigerant	{"noun": ["chất làm lạnh"]}
impetuous	{"adjective": ["hấp tấp", "bốc đồng", "nóng nảy"]}
chino	{"noun": ["vải kaki", "quần kaki"]}
run-of-the-mill	{"adjective": ["bình thường", "tầm thường", "không có gì đặc biệt"]}
half-eaten	{"adjective": ["ăn dở", "ăn một nửa"]}
snot	{"noun": ["nước mũi"]}
interrater	{"adjective": ["giữa các người đánh giá"]}
acacia	{"noun": ["cây keo"]}
emancipate	{"verb": ["giải phóng", "phóng thích"]}
mojo	{"noun": ["bùa mê", "sức hút", "ma lực"]}
torturous	{"adjective": ["đau đớn", "khổ sở", "tra tấn"]}
crooner	{"noun": ["ca sĩ hát nhạc trữ tình"]}
recuse	{"verb": ["từ chối (tham gia)", "rút lui (khỏi vụ án)"]}
colloquial	{"adjective": ["thông tục", "khẩu ngữ"]}
edging	{"noun": ["viền", "mép", "sự lấn dần"], "verb": ["viền", "lấn dần"]}
narrowing	{"verb": ["thu hẹp", "làm hẹp lại"], "noun": ["sự thu hẹp", "sự làm hẹp lại"]}
kinetics	{"noun": ["động học"]}
uncommitted	{"adjective": ["không cam kết", "không ràng buộc", "trung lập"]}
coeducational	{"adjective": ["giáo dục hỗn hợp", "dạy chung cả nam và nữ"]}
bimonthly	{"adjective": ["hai tháng một lần", "bán nguyệt"], "adverb": ["hai tháng một lần"], "noun": ["tạp chí hai tháng một lần"]}
laconic	{"adjective": ["vắn tắt", "ngắn gọn", "súc tích"]}
undamaged	{"adjective": ["không bị hư hại", "nguyên vẹn"]}
bumble	{"verb": ["lúng túng", "vụng về", "nói lắp bắp"]}
houseplant	{"noun": ["cây trồng trong nhà"]}
aeration	{"noun": ["sự thông khí", "sự sục khí"]}
honorably	{"adverb": ["một cách danh dự", "đáng kính"]}
gnome	{"noun": ["người lùn", "thần lùn"]}
breakage	{"noun": ["sự vỡ", "đồ vỡ", "thiệt hại"]}
idiocy	{"noun": ["sự ngu ngốc", "hành động ngu ngốc"]}
weirdness	{"noun": ["sự kỳ quái", "sự kỳ lạ"]}
icebox	{"noun": ["tủ đá", "tủ lạnh"]}
formalized	{"verb": ["chính thức hóa", "làm theo nghi thức"], "adjective": ["được chính thức hóa"]}
waveform	{"noun": ["dạng sóng"]}
porpoise	{"noun": ["cá heo chuột"]}
non-european	{"adjective": ["không thuộc châu Âu"]}
legalistic	{"adjective": ["quá câu nệ luật pháp", "chú trọng hình thức pháp lý"]}
marionette	{"noun": ["con rối", "người bù nhìn"]}
birdsong	{"noun": ["tiếng chim hót"]}
lower-cost	{"adjective": ["chi phí thấp hơn"]}
alms	{"noun": ["của bố thí", "tiền bố thí"]}
juridical	{"adjective": ["thuộc pháp luật", "pháp lý"]}
race-based	{"adjective": ["dựa trên chủng tộc"]}
coronal	{"adjective": ["thuộc vành", "thuộc vòng"]}
femoral	{"adjective": ["thuộc xương đùi"]}
leafless	{"adjective": ["không có lá", "trơ trụi"]}
flirty	{"adjective": ["lả lơi", "tán tỉnh", "đong đưa"]}
stoically	{"adverb": ["một cách điềm tĩnh", "bình thản", "khắc kỷ"]}
mix-up	{"noun": ["sự nhầm lẫn", "sự lộn xộn"]}
itemize	{"verb": ["liệt kê từng khoản", "ghi thành từng mục"]}
blameless	{"adjective": ["vô tội", "không có lỗi", "không đáng trách"]}
knotty	{"adjective": ["có nhiều mấu", "khó khăn", "phức tạp"]}
convex	{"adjective": ["lồi"]}
perversity	{"noun": ["sự ngoan cố", "sự ngang bướng", "tính đồi bại"]}
scantily	{"adverb": ["một cách sơ sài", "thiếu thốn", "hở hang"]}
venereal	{"adjective": ["thuộc bệnh lây qua đường tình dục"]}
apprise	{"verb": ["báo cho biết", "thông báo"]}
malformation	{"noun": ["dị tật", "sự biến dạng"]}
unflinching	{"adjective": ["không nao núng", "kiên quyết", "không chùn bước"]}
deaden	{"verb": ["làm giảm", "làm yếu đi", "làm tê liệt"]}
hot-air	{"noun": ["lời nói suông", "sự khoác lác"]}
somersault	{"noun": ["sự nhào lộn", "lộn nhào"], "verb": ["nhào lộn", "lộn nhào"]}
drunkard	{"noun": ["người say rượu", "kẻ nghiện rượu"]}
college-educated	{"adjective": ["có trình độ đại học"]}
laxative	{"noun": ["thuốc nhuận tràng"]}
fast-track	{"adjective": ["cấp tốc", "nhanh chóng"], "verb": ["thúc đẩy nhanh chóng"]}
outsized	{"adjective": ["quá khổ", "lớn hơn bình thường"]}
grout	{"noun": ["vữa", "mạch vữa"], "verb": ["trát vữa", "chèn vữa"]}
smelt	{"verb": ["nấu chảy (kim loại)"], "noun": ["cá trứng"]}
lawnmower	{"noun": ["máy cắt cỏ"]}
separateness	{"noun": ["sự tách biệt", "tính riêng biệt"]}
handover	{"noun": ["sự bàn giao", "sự chuyển giao"]}
antiaircraft	{"adjective": ["phòng không", "chống máy bay"]}
commissary	{"noun": ["cửa hàng cung cấp", "nhà kho", "ủy viên"]}
everyman	{"noun": ["người bình thường", "người đại diện cho mọi người"]}
radiology	{"noun": ["x quang học", "chẩn đoán hình ảnh"]}
cuban-american	{"adjective": ["người Mỹ gốc Cuba"], "noun": ["người Mỹ gốc Cuba"]}
deface	{"verb": ["làm xấu đi", "làm biến dạng", "bôi bẩn"]}
smoke-filled	{"adjective": ["đầy khói", "ngập khói"]}
donna	{"noun": ["quý bà (tiếng Ý)"]}
collude	{"verb": ["thông đồng", "cấu kết", "móc ngoặc"]}
gelding	{"noun": ["ngựa thiến"]}
disjunction	{"noun": ["sự tách rời", "sự gián đoạn", "sự không liên kết"]}
cytokine	{"noun": ["cytokine (protein tế bào)"]}
zoologist	{"noun": ["nhà động vật học"]}
cabal	{"noun": ["nhóm người bí mật", "âm mưu", "bè phái"]}
oceanographic	{"adjective": ["thuộc hải dương học"]}
pallor	{"noun": ["vẻ xanh xao", "sự nhợt nhạt"]}
rehabilitative	{"adjective": ["phục hồi chức năng", "tái hòa nhập"]}
votive	{"adjective": ["cúng dường", "thề nguyện"]}
gung-ho	{"adjective": ["nhiệt tình", "hăng hái", "quyết tâm"]}
loam	{"noun": ["đất thịt", "đất mùn"]}
expensively	{"adverb": ["một cách đắt đỏ", "tốn kém"]}
maniacal	{"adjective": ["điên cuồng", "cuồng loạn"]}
germplasm	{"noun": ["nguồn gen", "mầm sống"]}
internalized	{"verb": ["nội tâm hóa", "tiếp thu vào bên trong"], "adjective": ["đã được nội tâm hóa"]}
nativity	{"noun": ["sự sinh ra", "nơi sinh", "lễ Giáng Sinh"]}
ecclesiology	{"noun": ["giáo hội học"]}
inbound	{"adjective": ["đến", "đi vào", "hướng vào"]}
pressurize	{"verb": ["tạo áp lực", "gây áp lực", "bơm áp suất"]}
sallow	{"adjective": ["xanh xao", "vàng vọt"]}
scruple	{"noun": ["sự do dự", "sự e ngại", "sự cắn rứt lương tâm"], "verb": ["do dự", "e ngại"]}
equine	{"adjective": ["thuộc loài ngựa"]}
piglet	{"noun": ["heo con"]}
hunchback	{"noun": ["người gù", "lưng gù"]}
embittered	{"adjective": ["cay đắng", "oán hận"]}
pectoral	{"adjective": ["thuộc ngực"], "noun": ["cơ ngực"]}
capacious	{"adjective": ["rộng rãi", "chứa được nhiều"]}
woodsman	{"noun": ["người đốn gỗ", "người sống trong rừng"]}
transference	{"noun": ["sự chuyển giao", "sự chuyển đổi", "sự dời chỗ"]}
candied	{"adjective": ["tẩm đường", "ngào đường"]}
seabed	{"noun": ["đáy biển"]}
gynecology	{"noun": ["phụ khoa"]}
metacognitive	{"adjective": ["siêu nhận thức"]}
indelibly	{"adverb": ["không thể xóa được", "không thể phai mờ"]}
out-of-wedlock	{"adjective": ["ngoài giá thú"]}
ruthlessness	{"noun": ["sự tàn nhẫn", "sự nhẫn tâm"]}
hyperinflation	{"noun": ["siêu lạm phát"]}
ecuadorian	{"adjective": ["thuộc Ecuador"], "noun": ["người Ecuador"]}
targeting	{"verb": ["nhắm mục tiêu", "hướng đến"], "noun": ["sự nhắm mục tiêu"]}
syrupy	{"adjective": ["ngọt như siro", "sến sẩm", "quá ngọt ngào"]}
liftoff	{"noun": ["sự cất cánh", "sự phóng lên"]}
jibe	{"verb": ["chế nhạo", "nhạo báng", "ăn khớp"], "noun": ["lời chế nhạo", "sự ăn khớp"]}
rattling	{"verb": ["làm kêu lách cách", "làm rung"], "adjective": ["kêu lách cách", "rung lắc"]}
encephalitis	{"noun": ["viêm não"]}
industry-wide	{"adjective": ["toàn ngành", "trong toàn ngành"]}
health-food	{"noun": ["thực phẩm tốt cho sức khỏe"]}
monofilament	{"noun": ["sợi đơn", "dây cước"]}
dram	{"noun": ["lượng nhỏ", "chén rượu nhỏ"]}
lawman	{"noun": ["cảnh sát", "người thi hành luật"]}
ell	{"noun": ["khuỷu tay", "đoạn gấp khúc", "đơn vị đo chiều dài"]}
birthmark	{"noun": ["vết bớt", "dấu bớt"]}
matrimony	{"noun": ["hôn nhân", "lễ cưới"]}
greedily	{"adverb": ["một cách tham lam", "hám lợi"]}
subplot	{"noun": ["cốt truyện phụ"]}
maoist	{"adjective": ["thuộc chủ nghĩa Mao"], "noun": ["người theo chủ nghĩa Mao"]}
dispensary	{"noun": ["nhà thuốc", "phòng phát thuốc"]}
two-car	{"adjective": ["hai xe"]}
tendinitis	{"noun": ["viêm gân"]}
all-consuming	{"adjective": ["chiếm hết", "ám ảnh", "tuyệt đối"]}
pantomime	{"noun": ["kịch câm", "điệu bộ"], "verb": ["diễn kịch câm", "diễn tả bằng điệu bộ"]}
antidepressant	{"noun": ["thuốc chống trầm cảm"]}
grafting	{"noun": ["sự ghép", "sự ghép cây", "sự tham nhũng"], "verb": ["ghép", "tham nhũng"]}
arty	{"adjective": ["có tính nghệ thuật", "điệu đà", "làm bộ"]}
swallowed	{"verb": ["nuốt", "nuốt chửng", "kìm nén"]}
absentmindedly	{"adverb": ["một cách đãng trí", "lơ đãng"]}
indefatigable	{"adjective": ["không mệt mỏi", "bền bỉ"]}
avoidable	{"adjective": ["có thể tránh được"]}
anti-competitive	{"adjective": ["chống cạnh tranh"]}
strategize	{"verb": ["lên chiến lược", "vạch kế hoạch"]}
portobello	{"noun": ["nấm portobello"]}
penultimate	{"adjective": ["áp chót", "gần cuối"]}
cantankerous	{"adjective": ["khó tính", "hay cãi cọ", "gắt gỏng"]}
disgorge	{"verb": ["ói ra", "tống ra", "nhả ra"]}
satirist	{"noun": ["nhà châm biếm", "người viết trào phúng"]}
despotism	{"noun": ["chế độ chuyên chế", "sự độc tài"]}
agnostic	{"noun": ["người theo thuyết bất khả tri"], "adjective": ["bất khả tri"]}
lute	{"noun": ["đàn luýt"]}
guardsman	{"noun": ["lính cận vệ", "vệ binh"]}
demonstrable	{"adjective": ["có thể chứng minh được", "rõ ràng"]}
post-industrial	{"adjective": ["hậu công nghiệp"]}
discus	{"noun": ["đĩa ném", "môn ném đĩa"]}
appellation	{"noun": ["tên gọi", "danh hiệu"]}
undistinguished	{"adjective": ["không nổi bật", "tầm thường", "không có gì đặc biệt"]}
studious	{"adjective": ["chăm chỉ", "ham học", "siêng năng"]}
in-class	{"adjective": ["trong lớp học"]}
melange	{"noun": ["hỗn hợp", "tạp hợp"]}
motherland	{"noun": ["quê hương", "mẫu quốc"]}
single-sex	{"adjective": ["một giới"]}
joining	{"noun": ["sự tham gia", "sự kết nối"], "verb": ["tham gia", "kết nối"]}
industrialize	{"verb": ["công nghiệp hóa"]}
third-place	{"noun": ["vị trí thứ ba"], "adjective": ["thứ ba"]}
pickpocket	{"noun": ["kẻ móc túi"], "verb": ["móc túi"]}
disorient	{"verb": ["làm mất phương hướng"]}
wretch	{"noun": ["kẻ khốn khổ", "người bất hạnh"]}
corinthian	{"adjective": ["thuộc Corinth", "kiểu Corinth"]}
desertification	{"noun": ["sa mạc hóa"]}
barking	{"noun": ["tiếng sủa"], "verb": ["sủa"]}
preset	{"adjective": ["đặt trước"], "verb": ["đặt trước"]}
wanderings	{"noun": ["sự lang thang", "những cuộc phiêu lưu"]}
nitrous	{"adjective": ["chứa nitơ", "nitơ"]}
socialized	{"verb": ["xã hội hóa"], "adjective": ["được xã hội hóa"]}
lakeshore	{"noun": ["bờ hồ"]}
ginkgo	{"noun": ["cây bạch quả"]}
speedometer	{"noun": ["tốc kế"]}
nadir	{"noun": ["điểm thấp nhất", "đáy vực"]}
moonless	{"adjective": ["không trăng"]}
valence	{"noun": ["hóa trị", "trị số"]}
muon	{"noun": ["muon"]}
granddad	{"noun": ["ông nội", "ông ngoại"]}
shell-shocked	{"adjective": ["bị sốc", "bị sang chấn tâm lý"]}
fourth-grader	{"noun": ["học sinh lớp bốn"]}
homogenize	{"verb": ["đồng nhất hóa"]}
imprimatur	{"noun": ["giấy phép xuất bản", "sự chấp thuận"]}
phase-out	{"verb": ["dần loại bỏ", "giai đoạn loại bỏ"], "noun": ["giai đoạn loại bỏ"]}
trimmer	{"noun": ["máy tỉa", "người tỉa"]}
bootleg	{"adjective": ["lậu", "bất hợp pháp"], "verb": ["buôn lậu", "sản xuất lậu"]}
unfailingly	{"adverb": ["luôn luôn", "không bao giờ thất bại"]}
sandstorm	{"noun": ["bão cát"]}
unusable	{"adjective": ["không thể dùng được"]}
prophylactic	{"adjective": ["phòng ngừa"], "noun": ["biện pháp phòng ngừa"]}
high-five	{"noun": ["cú đập tay"], "verb": ["đập tay"]}
sixty-six	{"noun": ["sáu mươi sáu"], "adjective": ["sáu mươi sáu"]}
onwards	{"adverb": ["trở đi", "tiếp tục"]}
clinging	{"verb": ["bám chặt", "níu kéo"], "adjective": ["bám chặt"]}
rapacious	{"adjective": ["tham lam", "hám lợi"]}
costumed	{"adjective": ["hóa trang", "mặc trang phục"]}
deign	{"verb": ["hạ mình", "ban cho"]}
taken	{"verb": ["đã lấy", "đã nhận"], "adjective": ["đã chiếm", "đã bị chiếm"]}
unscheduled	{"adjective": ["không có lịch trình", "đột xuất"]}
invulnerable	{"adjective": ["bất khả xâm phạm", "không thể bị tổn thương"]}
unconvincing	{"adjective": ["không thuyết phục"]}
trill	{"noun": ["tiếng rung", "âm rung"], "verb": ["rung", "hót líu lo"]}
first-timer	{"noun": ["người lần đầu tiên"]}
leaked	{"verb": ["rò rỉ", "làm rò rỉ"], "adjective": ["bị rò rỉ"]}
coming-of-age	{"noun": ["tuổi trưởng thành", "sự trưởng thành"]}
mace	{"noun": ["chùy", "bình xịt hơi cay"], "verb": ["tấn công bằng chùy", "xịt hơi cay"]}
ragtime	{"noun": ["nhạc ragtime"]}
co-anchor	{"noun": ["người dẫn chương trình chung"]}
sixth-grader	{"noun": ["học sinh lớp sáu"]}
governess	{"noun": ["gia sư (nữ)"]}
christening	{"noun": ["lễ rửa tội"]}
late-afternoon	{"noun": ["cuối buổi chiều"], "adjective": ["cuối buổi chiều"]}
girlhood	{"noun": ["thời con gái"]}
unraveling	{"noun": ["sự tháo gỡ", "sự làm sáng tỏ"], "verb": ["tháo gỡ", "làm sáng tỏ"]}
curvy	{"adjective": ["cong", "có đường cong"]}
inhabited	{"adjective": ["có người ở", "sinh sống"]}
fourth-largest	{"adjective": ["lớn thứ tư"]}
pro-western	{"adjective": ["ủng hộ phương Tây"]}
remand	{"verb": ["giam giữ", "trả về"], "noun": ["sự giam giữ", "lệnh trả về"]}
toasty	{"adjective": ["ấm áp", "nóng hổi"]}
impound	{"verb": ["tịch thu", "giam giữ"]}
waterline	{"noun": ["đường mớn nước"]}
bedraggled	{"adjective": ["lấm lem", "bẩn thỉu"]}
aphrodisiac	{"noun": ["thuốc kích dục"], "adjective": ["kích dục"]}
soundlessly	{"adverb": ["không tiếng động"]}
headed	{"verb": ["hướng đến", "dẫn đầu"], "adjective": ["có đầu", "được dẫn đầu"]}
demographically	{"adverb": ["về mặt nhân khẩu học"]}
aeronautical	{"adjective": ["thuộc về hàng không"]}
pontoon	{"noun": ["phao nổi", "cầu phao"]}
pinkie	{"noun": ["ngón út"]}
ritualized	{"adjective": ["được nghi thức hóa", "theo nghi lễ"]}
buffoon	{"noun": ["kẻ hề", "tên hề"]}
retch	{"verb": ["nôn khan"]}
bearish	{"adjective": ["bi quan", "giảm giá"]}
king-size	{"adjective": ["cỡ lớn", "cỡ vua"]}
lemming	{"noun": ["chuột lemming", "người a dua"]}
isolating	{"verb": ["cô lập", "cách ly"], "adjective": ["cô lập", "gây cô lập"]}
woodstove	{"noun": ["bếp củi"]}
candelabra	{"noun": ["chân đèn nhiều nhánh"]}
biodiesel	{"noun": ["dầu diesel sinh học"]}
shimmy	{"noun": ["điệu lắc hông", "sự rung lắc"], "verb": ["lắc hông", "rung lắc"]}
scull	{"noun": ["mái chèo", "thuyền nhỏ"], "verb": ["chèo thuyền"]}
